subject,target,cache-references,cache-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,cache-misses_percent,LLC-load-misses_percent,LLC-store-misses_percent,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,execution_time,PROCESS_CPU_USAGE,PROCESS_MEMORY,PROCESS_VIRTUAL_MEMORY,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3
nuitka,binary_trees,46286,15028,27830,11420,,,32.467700816661626,41.03485447358965,,7125.023986816408,12211.234130859375,2636.825317382805,0,33610452992.0,34317791232.0,1867576104.661059,0.0,1617.5722291469574,0.0,2633728.0,141676544.0,99.92488777749554,2.2559145458967955,2.2742231915944995,2.13260486037763,1599.5063087580406,1600.0,1599.9996288965858,1599.9990103908956
codon,binary_trees,526578752,229584278,505091662,218889430,18799609,9324348,43.59922938933928,43.33657560951779,49.5986272905995,143.606689453125,271.03558349609375,67.33062744140625,0,33610452992.0,34317791232.0,1566229088.5485713,0.0,35.023017168045044,95.441950138637,2183168.0,10084352.0,95.39473685128348,1.8116487557547434,2.5143917165483747,3.417157780783517,1599.5085714285715,1600.0,1600.0,1600.0
codon,mandelbrot,24197463,1510132,6631058,539088,6414190,968114,6.240869135743694,8.129743398413948,15.093316537240087,442.86828613280886,991.2485961914062,236.7060546875,0,33610452992.0,34317791232.0,1135283418.5104601,0.0,143.60900139808655,96.6907157525524,1003520.0,8568832.0,99.2949867408146,2.4505408851006374,3.0140135240022774,1.5945424195612823,1599.510460251046,1600.0,1600.0,1600.0
mypyc,fannkuch_redux,44216352,3388350,13720775,1970026,7319060,191667,7.6631152203601065,14.357979050017219,2.6187379253620002,12573.06340810546,30568.470092773423,8182.932800292969,0,33610452992.0,34317791232.0,1167699243.5991337,0.0,4065.10072350502,96.15651683503188,974848.0,8568832.0,99.96610163158965,2.369390865495576,2.3459667232673125,2.238032628719932,1599.5115672376453,1600.0,1599.9998031108487,1599.9998031108487
cython,n_body,48092419,2538890,14625406,1452856,3470132,104925,5.279189636936333,9.933782351067725,3.0236601950588624,5677.840881347656,13775.48284912108,3719.7003784179688,0,33610452992.0,34317791232.0,1160507030.5225265,0.0,1834.2880511283875,96.46431001093313,6733824.0,15925248.0,99.85779737903441,3.558853347181585,2.9250922687339513,2.3964228619402492,1599.5232900621795,1600.0,1600.0,1600.0
cython,k_nucleotide,1318468028,395110359,1281515804,393263010,4286954,1228291,29.967382644791744,30.68733204635532,28.65183531243862,1419.71234130859,3350.807861328125,888.0961914062646,0,33610452992.0,34317791232.0,1529659643.9766502,0.0,445.84521865844727,96.27562835755025,4096.0,421888.0,98.96593752151442,2.2887082414130324,2.7428721156310862,3.6540441220257387,1599.5141445891334,1600.0,1599.9995509654243,1599.9995509654243
numba,spectralnorm,108364054,9910047,44792581,6862296,3478749,320579,9.145142355046998,15.320162059873264,9.21535299039971,786.8403930664062,1718.0526733398438,384.43780517578125,0,33610452992.0,34317791232.0,1216085497.5597484,0.0,254.67327427864075,95.87852146040719,1015808.0,8568832.0,99.0532151348186,2.281923712705666,2.2828073648724168,2.5052405121566363,1599.5031446540881,1599.997641509434,1600.0,1599.998427672956
numba,binary_trees,1105712048,516196289,879427776,452937715,111679249,58791417,46.68451338064827,51.50368539189738,52.64309845063517,361.02288818359375,718.22314453125,169.65533447265625,0,33610452992.0,34317791232.0,2075500561.1022964,0.0,95.7726821899414,94.94255347042841,6656000.0,15785984.0,98.73061437746179,2.450649085024951,1.6632280894759304,1.8640984809473313,1599.5135699373695,1600.0,1600.0,1600.0
pypy,binary_trees,1957305756,639246984,1720659220,608546845,193481180,24313212,32.65953630598734,35.367075474712536,12.566189641803922,552.9221801757812,1051.4459838867188,256.74774169921875,0,33610452992.0,34317791232.0,1419396108.1904762,0.0,134.57457971572876,97.4404649564198,987136.0,8568832.0,98.95604395866394,2.04266164061569,2.445479883679322,1.9611969400374663,1599.5267857142858,1600.0,1600.0,1600.0
nuitka,spectralnorm,31213,14062,18523,10323,,,45.0517412616538,55.730713167413484,,1916.0413818359375,4675.298767089844,1274.283447265625,0,33610452992.0,34317791232.0,1153809577.8954165,0.0,619.8258943557739,0.0,995328.0,8568832.0,99.70948999354422,1.8683258393951352,2.35485486392824,2.413068658252006,1599.5164622336993,1600.0,1599.999677211104,1600.0
cython,fannkuch_redux,29893108,2053482,9464394,1105124,5350411,125292,6.869416187838347,11.676648288310904,2.3417266449250347,9624.247253417969,23565.428894042998,6341.863830566421,0,33610452992.0,34317791232.0,1160857898.3265622,0.0,3112.710670232773,95.93405951065648,962560.0,8568832.0,99.97222451533472,2.4314134710895337,2.124869586324655,2.1494008273951466,1599.512471072255,1600.0,1599.9998071483672,1600.0
pypy,n_body,239252597,948111,139902078,585949,86292775,267127,0.39628033797267415,0.4188279462153522,0.30955894047908417,168.70977783203125,385.55181884765625,98.6213378906541,0,33610452992.0,34317791232.0,1175882080.5860806,0.0,54.607290267944336,95.68422124674032,2506752.0,71065600.0,98.12271062271063,3.405339452373239,1.9483036016806579,1.8454743737266177,1599.5494505494505,1600.0,1600.0,1600.0
codon,fasta,3194951,561869,1091831,158808,558933,368562,17.586153903455795,14.545108171502733,65.94028264568384,106.54083251953125,240.4698486328416,59.853271484375,0,33610452992.0,34317791232.0,1131862264.601156,0.0,34.552164793014526,93.9144799116719,983040.0,8568832.0,95.36051107417642,0.7818170021035079,3.180684844882502,7.764881790028832,1599.5202312138729,1600.0,1600.0,1600.0
pypy,n_body,236695564,504146,137803153,212976,85662609,103606,0.2129934298219463,0.154550890428465,0.12094658475788427,161.641357421875,370.69580078125,95.68579101561045,0,33610452992.0,34317791232.0,1183669646.6564887,0.0,52.386444091796875,94.98491094312595,970752.0,8568832.0,98.42099759050907,5.59026134787625,3.123069837348152,2.092089475566194,1599.5076335877864,1600.0,1600.0,1600.0
